K01169.01, 1.0, 1.29, ..., 1927, 0.689209786, 0.01546, 1.04, 1.62e+10, 8.58e-02, a
K02607.01, 1.0, 1.49, ..., 1932, 0.754458321, 0.01612, 0.98, 2.05e+16, 1.08e+05, a
K04325.01, 1.0, 1.19, ..., 2143, 0.609926492, 0.01442, 1.08, 8.01e+13, 4.23e+02, a
K04595.01, 1.0, 1.25, ..., 1577, 0.597017651, 0.01231, 0.70, 1.71e+14, 9.02e+02, a
K04685.01, 1.0, 1.65, ..., 1781, 0.988493125, 0.02008, 1.11, 4.65e+11, 2.45e+00, a
K02480.01, 1.0, 1.31, ..., 1181, 0.666826778, 0.01226, 0.55, 3.36e+10, 1.77e-01, a
K06262.01, 1.0, 1.29, ..., 1834, 0.673141323, 0.01481, 0.96, 1.03e+11, 5.44e-01, a
K06532.01, 1.0, 1.47, ..., 1931, 0.813998777, 0.01675, 0.95, 2.08e+12, 1.10e+01, a
K07559.01, 1.0, 1.13, ..., 2417, 0.708965461, 0.01643, 1.18, 7.12e+09, 3.76e-02, a
K07594.01, 1.0, 1.93, ..., 2003, 2.08802799, 0.03517, 1.33, 2.07e+09, 1.09e-02, a
PTFO8-8695, 3.0, 1.64, ..., 2268, 0.44841, 0.00800, 0.34, 2.14e+20, 1.13e+09, b
